nazwa,kategoria nadrzedna,aktywny,opis
Soczewki kontaktowe,,1,
Dla niego,,1,"W kategorii dla niego znajdują się produkty przeznaczone do pielęgnacji ciała, twarzy i włosów, a także dezodoranty i antyperspiranty skutecznie hamujące nadmierną potliwość. Ponadto w ofercie sprzedaży posiadamy także witaminy i mikroelementy, które wspomagają funkcjonowanie prostaty, wzmacniają potencję oraz łagodzą objawy andropauzy."
Sprzęt medyczny,,1,"Oprócz szerokiego asortymentu leków i suplementów diety, proponujemy także wysokiej jakości sprzęt medyczny i rehabilitacyjny. Dysponujemy profesjonalnymi ciśnieniomierzami, inhalatorami, glukometrami oraz pulsometrami. Proponujemy również różnego rodzaju akcesoria medyczne, aparaty do masażu stóp i testy diagnostyczne do wykonywania w warunkach domowych."
Artykuły higieniczne,,1,"Chusteczki nawilżające, preparaty do oczyszczania uszu, płyny do higieny intymnej, pumeksy i pilniki do paznokci – to przykładowe artykuły higieniczne, które można znaleźć w ofercie naszej apteki. Oferujemy także wysokiej jakości hipoalergiczną chemię gospodarczą: proszki do prania (ekologiczne oraz dla skóry wrażliwej), płyny do mycia naczyń np. hipoalergiczne, odplamiacze i wybielacze, środki do dezynfekcji oraz wiele innych produktów przystosowanych dla alergików."
Higiena jamy ustnej,,1,"Właściwa higiena jamy ustnej jest niezbędna do utrzymania zębów i dziąseł w dobrej kondycji. By nie utracić pięknego uśmiechu, poza wizytami u lekarza stomatologa, warto wykonywać proste czynności obniżające ryzyko wystąpienia próchnicy czy innych schorzeń. 
W tym celu oferujemy szeroki wybór past do zębów, nici dentystycznych, płynów do płukania jamy ustnej i wielu innych produktów."
Zdrowa żywność,,1,"Kwestii zdrowego odżywiania poświęca się coraz więcej uwagi. Szczególny nacisk kładzie się na spożywanie produktów organicznych, bazujących na naturalnych składnikach. W ofercie naszej apteki można znaleźć ekologiczne produkty bezglutenowe i bezlaktozowe, różnego rodzaju oleje roślinne tłoczone na zimno, kawy przyjazne dla żołądka oraz wiele innych produktów o dobroczynnym wpływie na zdrowie."
Dla sportowców,,1,"Odżywki i suplementy diety tworzone z myślą o osobach aktywnych fizycznie pomagają osiągnąć maksymalną formę sportową. Preparaty te dostępne są bez recepty, nie wpływają na gospodarkę hormonalną, wspomagają budowę tkanki mięśniowej i nie wywołują efektów ubocznych. W ofercie posiadamy odżywki wysokobiałkowe, węglowodanowe, a także zawierające aminokwasy. "
Testy diagnostyczne,,1,"Testy diagnostyczne przeznaczone do domowego użytku znajdują zastosowanie w wielu różnych działach medycyny, takich jak gastrologia czy ginekologia . Poza testami ciążowymi, oferujemy szeroki wybór testów płodności, wykrywających antygeny czy służących do oznaczania poziomu cholesterolu. Wykonuje się je głównie w oparciu o mocz, krew, kał oraz ślinę."
Higiena dzieci,,1,
Pielęgnacja dzieci,,1,"Prawidłowa pielęgnacja dziecka ma znaczenie nie tylko dla jego zdrowia i właściwego rozwoju, ale także dla dobrego samopoczucia każdego dnia. Dostępne w tej kategorii kosmetyki są dedykowane dla maluchów by łagodnie oczyszczać naskórek i wzmacniać jego naturalną barierę ochronną. Każdy z produktów zapewnia właściwy poziom nawilżenia i zapobiega nadmiernej suchości skóry."
