aktywny,nazwa ,kategoria,cenaBrutto,mark,ilosc,podsumowanie,opis,meta_tytul,adres_Zdjecia_url,tekst_alternatywny_dla_zdjec
1,"Acid Relief, SWANSON, 60 kapsułek",Bez recepty;witaminy i mikroelementy,24.99,SWANSON,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Acid Relief, SWANSON, 60 kapsułek - opis produktu</h2>

			<p>Acid Relief - suplement diety.<br><br><strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne preparatu.<br><br><strong>Zalecane spożycie:</strong> 1 kapsułka dziennie.<br><br><strong>Składniki:</strong> Comforteze, mąka ryżowa, otoczka kapsułki: żelatyna, stabilizator: guma arabska, emulgator: fosforan diwapiniowy, substancja przeciwzbrylająca: sole magnezowe kwasów tłuszczowych.<br><br>1 kapsułka zawiera: Comforteze 700mg, wapń (z węglanu wapnia) (z Comforteze) 223mg (28%)*, magnez (z wodorotlenku magnezu) (z Comforteze) 22mg (6%)*, witamina C (kwas L-askorbinowy) (z Comforteze) 20mg (25%)*, potas (z wodorotlenku potasu) (z Comforteze) 10mg (0,5%)*.<br><br>*RWS - Referencyjna Wartość Spożycia</p>
<p><strong>Ważne wskazówki:</strong><br>Nie przekraczać zalecanej porcji do spożycia w ciągu dnia. <br>Produkt nie może być stosowany jako substytut prawidłowo zróżnicowanej diety.<br>Przechowywać w temperaturze pokojowej, w sposób niedostępny dla małych dzieci.<br>Zrównoważony sposób żywienia prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka.</p>
<p><strong>Producent:</strong><br>Swanson Health Products,<br>Fargo, ND 58108.<br> <br><strong>Wyłączny dystrybutor w Polsce:</strong><br>Pro Sport s.c.<br>Mikołaj Filarski, Małgorzata Majdaniec,<br>Pogodna 18,<br>71-376 Szczecin.</p>
<br><br>
			

		</div>","Acid Relief, SWANSON, 60 kapsułek",https://www.aptekagemini.pl/product/image/265348/0072888.jpg,"Acid Relief, SWANSON, 60 kapsułek"
1,"A-Z Witamina D3 Medica 4000jm, 60 kapsułek",Bez recepty;witaminy i mikroelementy,14.47,A-Z MEDICA,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">A-Z Witamina D3 Medica 4000jm, 60 kapsułek - opis produktu</h2>

			
<div><span>Suplement diety Witamina </span><span class=""hiddenSpellError"">D3</span><span> 4000 j.m. wspomaga utrzymanie zdrowych kości i zębów, wspiera odporność oraz wspomaga prawidłowe funkcjonowanie mięśni.<br></span><br><span><strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne preparatu.</span><br><br><span><strong>Zalecane spożycie:</strong> 1 kapsułka dziennie, pół godziny przed posiłkiem, popijając płynem.</span><br><br><span><strong>Składniki:</strong> kapsułka; żelatyna, gliceryna, woda, witamina </span><span class=""hiddenSpellError"">D3</span><span> (cholekalcyferol).</span><br><br><span>1 kapsułka zawiera: witamina D </span><span class=""hiddenSpellError"">100mcg</span><span> (2000%</span><span>) </span><span>*.</span><br><br><span>*RWS-referencyjne wartości spożycia</span><br><br><span><strong>Przeciwwskazania:</strong> Nie zaleca się kobietom w ciąży i w okresie karmienia.</span><br><br><strong>Ważne wskazówki:</strong><br><span>Nie należy przekraczać zalecanej dziennej porcji.</span><br><span>Zrównoważony sposób żywienia i prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka.</span><br><span>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.</span><br><span>Nie stosować w przypadku nadwrażliwości (uczulenia) na którekolwiek ze składników produktu.</span><br><span>Nie przekraczać zalecanej porcji do spożycia w ciągu dnia.</span><br><span>Przechowywać w sposób niedostępny dla małych dzieci.</span><br><br><strong>Podmiot działający na rynku:</strong><br><span class=""hiddenSpellError"">AMC</span><span> </span><span class=""hiddenSpellError"">PHARMA</span><span> LIMITED</span><br><span class=""hiddenSpellError"">BCA</span><span> box 4748, London </span><span class=""hiddenSpellError"">WC1N</span><span> </span><span class=""hiddenSpellError"">3XX</span><span>,</span><br><span>United </span><span class=""hiddenSpellError"">Kingdom</span><span>.</span></div>
			

		</div>","A-Z Witamina D3 Medica 4000jm, 60 kapsułek",https://www.aptekagemini.pl/product/image/233573/apteka_internetowa_gemini_a-z_witamina_d3_medica_4000jm_60_kapsu-ek.jpg,"A-Z Witamina D3 Medica 4000jm, 60 kapsułek"
1,"A-Z Witamina D3 Medica 2000jm, 60 kapsułek",Bez recepty;witaminy i mikroelementy,9.79,A-Z MEDICA,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">A-Z Witamina D3 Medica 2000jm, 60 kapsułek - opis produktu</h2>

			
<div>Suplement diety zawierający witaminę D3 w 2000j.m wspomaga utrzymanie zdrowych kości i zębów, wspiera odporność oraz wspomaga prawidłowe funkcjonowanie mięśni i układu odpornościowego. </div>
<div> </div>
<div><strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne produktu. </div>
<div> </div>
<div><strong>Zalecane spożycie:</strong> 1 kapsułka dziennie, pół godziny przed posiłkiem. </div>
<div> </div>
<div><strong>Składniki: </strong>kapsułka: żelatyna, gliceryna, woda; witamina D3 cholekalyferol.</div>
<div> </div>
<div>1 kapsułka zawiera: witamina D 50mcg (1000%)*.</div>
<div> </div>
<div>*RWS-Referencyjna Wartość Spożycia.</div>
<div> </div>
<div><strong>Ważne wskazówki:</strong></div>
<div>Nie należy przekraczać dziennej zalecanej porcji do spożycia.</div>
<div>Zrównoważona i zróżnicowana dieta oraz zdrowy styl życia są podstawą zapewnienia prawidłowego funkcjonowania organizmu.</div>
<div>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.</div>
<div>Przechowywać w suchym miejscu, w temperaturze pokojowej, w sposób niedostępny dla małych dzieci. </div>
<div>Nie zaleca się kobietom w ciąży i w okresie karmienia.<br><br></div>
<div><strong>Podmiot działający na rynku:</strong></div>
<div>A-Z Medica Sp. z o.o.</div>
<div>ul. Władysława IV 13C</div>
<div>80-574 Gdansk</div>
			

		</div>","A-Z Witamina D3 Medica 2000jm, 60 kapsułek",https://www.aptekagemini.pl/product/image/233571/1523279857apteka_internetowa_gemini_a-z_witamina_d3_medica_2000jm_60_kapsu-ek.jpg,"A-Z Witamina D3 Medica 2000jm, 60 kapsułek"
1,"ECO BY NATY, nocnik Clean Potty, z wkładami, 1 sztuka",Akcesoria dziecięce;nocniki i podesty,172.99,VINET,300,<span>Artykuł dziecięcy</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">ECO BY NATY, nocnik Clean Potty, z wkładami, 1 sztuka - opis produktu</h2>

			<p>Główną zaletą nocnika Eco by Naty jest to, że nigdy nie trzeba go czyścić po użyciu. Torebka wykonana w 100% z biodegradowalnej folii zbiera odpady, a potem można ją spłukać w toalecie. Nocnik ""Clean Potty"" jest wykonany w 95% z materiałów odnawialnych i dlatego jest całkowicie ekologiczny. Podstawową formą jest kula z dopasowanymi funkcjonalnymi częściami. Do podstawy przymocowany jest gumowy pierścień, który eliminuje chybotanie. Nocnik jest nie tylko funkcjonalny, ale także ładnie wygląda w łazience. Nocnik jest wykonany z wysokiej jakości materiału. Ma certyfikat AB Vincotte. Nie zawiera ftalanów. <br><br>Opakowanie zawiera wymienne wkładki na nocnik.</p>
			

		</div>","ECO BY NATY, nocnik Clean Potty, z wkładami, 1 sztuka",https://www.aptekagemini.pl/product/image/255678/0071584.jpg,"ECO BY NATY, nocnik Clean Potty, z wkładami, 1 sztuka"
1,"BOIRON Poumon histamine 9 CH, granulki, 4g",Bez recepty;homeopatia,11.98,BOIRON,300,<span>Lek homeopatyczny</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">BOIRON Poumon histamine 9 CH, granulki, 4g - opis produktu</h2>

			
<div>
<p><strong>Wskazania:</strong> homeopatyczny produkt leczniczy bez wskazań leczniczych, nierefundowany, produkt leczniczy wydawany bez przepisu lekarza.</p>
<p><strong>Skład:</strong> Poumon histamine 9 CH, sacharoza, laktoza jednowodna.</p>
<p><strong>Działanie:</strong> produkt leczniczy bez wskazań leczniczych.</p>
<p><strong>Dawkowanie:</strong> stosować doustnie, zgodnie z zaleceniem lekarza.</p>
<p><strong>Przeciwwskazania:</strong> nadwrażliwość na którykolwiek składnik leku. W przypadku występowania nietolerancji niektórych cukrów należy skontaktować się z lekarzem przed przyjęciem leku.</p>
</div>
			

		</div>","BOIRON Poumon histamine 9 CH, granulki, 4g",https://www.aptekagemini.pl/product/image/237623/1524490736apteka_internetowa_gemini_boiron_poumon_histamine_9_ch_granulki_4g.jpg,"BOIRON Poumon histamine 9 CH, granulki, 4g"
1,"Acidolac Dentifix Kids, tabletki do ssania o smaku truskawkowym, po 3 roku życia, 30 tabletek",Zdrowie dzieci;zdrowe zęby,23.22,POLPHARMA,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Acidolac Dentifix Kids, tabletki do ssania o smaku truskawkowym, po 3 roku życia, 30 tabletek - opis produktu</h2>

			<div>
<p>Acidolac Dentifix Kids suplement diety to uniaklne połączenie opatentowanego inaktywowanego termicznie liofilizatu bakterii kwasu mlekowego Lactobacillus salivarius HM6 Pradens z ksylitolem i witaminą D.</p>
<p><strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne preparatu.<br> <br><strong>Zalecane spożycie:</strong> 1 tabletka do ssania dziennie wieczorem przed snem, po szczotkowaniu zębów.<br> <br><strong>Składniki:</strong> substancja wypełniająca: izomalt, substancja słodząca: ksylitol, aromat truskawkowy naturalny, substancja przeciwzbrylająca: talk, liofilizat bakterii kwasu mlekowego Lactobacillus salivarius HM6 Paradens, substancje przeciwzbrylające: sole magnezowe kwasów tłuszczowych, dwutlenek krzemu, substancja wiążąca: poliwinylopirolidon, witamina D (cholekalcyferol), substancja słodząca: sukraloza.<br> <br>1 tabletka zawiera: Lactobacillus salivarius HM6 Paradens 10mg, witamina D 10mcg (200%)*.<br> <br>*RWS - Referencyjna Wartość Spożycia.</p>
<p><strong>Ważne wskazówki:</strong><br>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety. <br>Zrównoważony sposób żywienia i prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka.<br>Nie należy przekraczać zalecanej porcji do spożycia w ciągu dnia. <br>Przechowywać w sposób niedostępny dla małych dzieci.<br>Przechowywać w miejscu suchym w temperaturze pokojowej. <br>Przebarwienia, które występują na tabletkach nie stanowią wady produktu. Pochodzą od jego składników.<br>Produkt nie jest przeznaczony dla kobiet w ciąży i karmiących piersią.<br>Spożycie w nadmiernych ilościach może mieć efekt przeczyszczający.<br>Zawiera substancje słodzące.<br> <br><strong>Producent:</strong><br>Zakłady Farmaceutyczne Polpharma S.A.<br>Pelplińska 19<br>83-200 Starogard Gdański</p>
</div>
			

		</div>","Acidolac Dentifix Kids, tabletki do ssania o smaku truskawkowym, po 3 roku życia, 30 tabletek",https://www.aptekagemini.pl/product/image/246054/1522845350apteka_internetowa_gemini_acidolac_dentifix_kids_tabletki_do_ssania_o_smaku_truskawkowym_po_3_roku_-ycia_30_tabletek.jpg,"Acidolac Dentifix Kids, tabletki do ssania o smaku truskawkowym, po 3 roku życia, 30 tabletek"
1,"Kids Kit, treningowa nakładka na toaletę 3w1, 1 sztuka",Akcesoria dziecięce;nocniki i podesty,73.99,HELVE,300,<span>Artykuł dziecięcy</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Kids Kit, treningowa nakładka na toaletę 3w1, 1 sztuka - opis produktu</h2>

			<p>Treningowa nakładka na toaletę Kids Seat Toilet Trainer Kids Kit. Dla dzieci 12-36 miesięcy.</p>
<p><strong>Cechy produktu:</strong><br>- treningowa nakładka na toaletę Kids Seat Toilet Trainer Kids Kit,<br>- nakładka treningowa powoduje, że dziecko uczy się korzystać z toalety przez zabawę,<br>- składana konstrukcja pozwala zrobić nocniczek,<br>- oddzielana samodzielna nakładka na sedes.<br><br><strong>W zestawie:</strong><br>- nocnik, <br>- nakładka sedesowa,<br>- podest do toalety.</p>
			

		</div>","Kids Kit, treningowa nakładka na toaletę 3w1, 1 sztuka",https://www.aptekagemini.pl/product/image/262448/0072386.jpg,"Kids Kit, treningowa nakładka na toaletę 3w1, 1 sztuka"
1,"ALFA Scaling, płyn po zabiegach chirurgicznych, 50ml",Higiena jamy ustnej;problemy stomatologiczne,7.69,ATOS,300,<span>Kosmetyk</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">ALFA Scaling, płyn po zabiegach chirurgicznych, 50ml - opis produktu</h2>

			
<div>Specjalistyczna płukanka po zabiegach skalingu i kiretażu. Zapobiega krwawieniu, łagodzi ból, zdecydowanie podnosi komfort pacjenta, skraca czas gojenia, pozostawia przyjemny smak w ustach. </div>
<div> </div>
<div><strong>Wskazania</strong>: specjalistyczny płyn do płukania jamy ustnej. </div>
<div> </div>
<div><strong>Sposób uzycia</strong>: sastosować się do wskazówek lekarza. Po zabiegu skalingu, lub kiretażu wypłukać delikatnie 2 – 3 razy niewielką ilością płynu. Nie rozcieńczać.</div>
<div> </div>
<div><strong>Główne składniki:</strong> siemię lniane, szałwia, rumianek, arnika oraz tasznik, pięciornik i krwawnik.</div>
			

		</div>","ALFA Scaling, płyn po zabiegach chirurgicznych, 50ml",https://www.aptekagemini.pl/product/image/231957/1514373832apteka_internetowa_gemini_alfa_scaling_p-yn_po_zabiegach_chirurgicznych_50ml.jpg,"ALFA Scaling, płyn po zabiegach chirurgicznych, 50ml"
1,"TRON EKO, jednorazowy nocnik turystyczny dla dzieci, biały, 1 sztuka",Akcesoria dziecięce;nocniki i podesty,6.99,EKO DYSTRYBUTOR,300,<span>Artykuł dziecięcy</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">TRON EKO, jednorazowy nocnik turystyczny dla dzieci, biały, 1 sztuka - opis produktu</h2>

			Ekologiczny, składany nocnik jednorazowy dla dzieci. <strong><br><br>Cechy produktu:<br></strong>- Łatwy w użyciu - kiedy u Twojego dziecka pojawia się potrzeba, po prostu rozkładasz, używasz i składasz,<br>- praktyczny i funkcjonalny - sprawdza się gdy jesteś z dzieckiem w sklepie, podróży, bądź na wspólnej wycieczce,<br>- ekologiczny - wytworzony z materiałów przyjaznych środowisku naturalnemu,<br>- bezpieczny i niezawodny - nocniczek nie pęka, nie gnie się, nie drze się. Idealny w trudnych sytuacjach,<br>- trwały - specjalna konstrukcja i użyty materiał sprawia, że nocniczek z łatwością wytrzymuje duży nacisk,<br>- składany i kompaktowy - dzięki swoim niewielkim rozmiarom, łatwo zmieści się w każdej torebce,<br>- niezwykle solidny - uUtrzymuje nacisk 30 kg, <br>- poręczny i przenośny - prosty i łatwy w użyciu,<br>- z superchłonną wkładką - skutecznie pochłania płyny i eliminuje zapachy,<br>- bezpieczny i higieniczny - zczelny po zamknięciu.<br><br>
			

		</div>","TRON EKO, jednorazowy nocnik turystyczny dla dzieci, biały, 1 sztuka",https://www.aptekagemini.pl/product/image/266010/0072701.jpg,"TRON EKO, jednorazowy nocnik turystyczny dla dzieci, biały, 1 sztuka"
1,"Allnutition, CLA forte, kwas linolowy 1000mg, 90 kapsułek",Dla sportowców;inne,24.99,SFD,300,<span>Suplement diety</span>,"<div class=""pw_description"" itemprop=""description"">
			<h2 class=""h2_title"">Allnutition, CLA forte, kwas linolowy 1000mg, 90 kapsułek - opis produktu</h2>

			
<div>Suplement diety przeznaczony dla osób aktywnych fizycznie, zawierający sprzężony kwas linolowy (CLA).</div>
<div> </div>
<div><strong>Zastosowanie:</strong> suplementacja diety w składniki aktywne preparatu.</div>
<div> </div>
<div><strong>Zalecane spożycie: </strong>1 kapsułka dziennie, popijając 250ml wody - najlepiej przed wysiłkiem fizycznym.</div>
<div> </div>
<div><strong>Składniki: </strong>sprzężony kwas linolowy (CLA), otoczka (żelatyna, substancja utrzymująca wilgoć: glicerol, woda).</div>
<div> </div>
<div>1 kapsułka produktu zawiera: CLA (sprzężony kwas linolowy 80%) 1000mg.</div>
<div> <br><strong>Ważne wskazówki:</strong></div>
<div>Nie należy przekraczać zalecanej dziennej porcji.</div>
<div>Zrównoważony sposób żywienia i prawidłowy tryb życia jest ważny dla funkcjonowania organizmu człowieka.</div>
<div>Suplement diety nie może być stosowany jako substytut (zamiennik) zróżnicowanej diety.</div>
<div>Produkt przeznaczony dla osób powyżej 18 roku życia.</div>
<div>Przechowywać w suchym i chłodnym miejscu, niedostępnym dla małych dzieci.</div>
<div>Po użyciu należy zawsze zamykać opakowanie.</div>
<div> </div>
<div><strong>Wyprodukowano w UE dla:</strong></div>
<div>SFD Spółka Akcyjna</div>
<div>ul. Głogowska 23C</div>
<div>45-315 Opole</div>
<div> </div>
			

		</div>","Allnutition, CLA forte, kwas linolowy 1000mg, 90 kapsułek",https://www.aptekagemini.pl/product/image/242429/apteka_internetowa_gemini_allnutition_cla_forte_kwas_linolowy_1000mg_90_kapsu-ek.jpg,"Allnutition, CLA forte, kwas linolowy 1000mg, 90 kapsułek"
